id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg, pub, year>
1	1h nmr	-0,3323	0,4091	6	603	1195	84	2016,6905
2	1h nuclear magnetic resonance	-0,5116	0,3882	6	143	169	10	2015,8
3	300c	-0,1957	0,5006	6	378	678	56	2014,6429
4	30min	-0,4568	0,1735	4	119	143	11	2013,6364
5	60min	-0,294	0,0523	4	200	259	20	2013,7
6	70c	0,1389	-0,3616	2	155	179	15	2013,5333
7	a cm	1,6225	-0,4526	5	273	680	33	2011,9697
8	a cm2	1,6844	-0,447	5	230	544	24	2017,25
9	aaem	-0,2287	0,6356	6	87	111	11	2017,0909
10	aas	-0,1402	0,6725	1	133	174	11	2017,3636
11	abe	0,0017	-0,357	2	264	401	31	2017,3548
12	abt	1,6606	-0,4373	5	156	298	14	2012,5714
13	acetalization	0,3927	0,5922	1	191	270	24	2018,2083
14	acetate	0,293	-0,2044	2	1050	2290	187	2015,8503
15	acetogenic bacterium	0,4214	-0,7101	2	104	139	10	2015,7
16	acetol	0,0855	0,6177	1	155	212	18	2015,8333
17	acetone butanol ethanol	0,1218	-0,2858	2	167	241	19	2017,7895
18	acid base property	0,3588	0,8103	1	176	236	15	2017,4
19	acid density	0,3104	0,607	1	321	536	35	2018,3429
20	acid esterification	-0,1695	0,2987	4	315	561	42	2015,8333
21	acid hydrolysis	0,1345	-0,2744	2	434	789	69	2016,1159
22	acid oil	-0,4184	-0,0767	4	188	297	24	2015,9583
23	acid pretreatment	0,1057	-0,2711	2	453	860	64	2016,25
24	acid property	0,3255	0,7687	1	189	252	16	2016,9375
25	acid site	0,2889	0,7558	1	734	1737	116	2016,4569
26	acid strength	0,1834	0,6529	1	240	322	24	2016,7917
27	acid value	-0,7455	0,0984	4	891	3104	212	2015,4858
28	acid washing	-0,0781	0,707	6	174	275	20	2018,6
29	acidic compound	-0,1377	0,5846	6	126	162	12	2016,8333
30	acidic condition	0,6917	-0,0557	2	235	290	26	2015,7692
31	acidic ionic liquid	0,2826	0,2855	1	230	344	32	2016,2812
32	acidic property	0,3471	0,7564	1	275	371	25	2015,96
33	acidic site	0,3914	0,7344	1	449	786	52	2016,3077
34	acidic support	0,3742	0,8917	1	111	143	10	2017,2
35	acidic zeolite	0,0483	0,915	1	137	166	12	2015,4167
36	acidification	-0,4751	-0,4712	3	252	380	30	2016,3667
37	acrylic acid	0,6251	-0,0511	5	194	228	17	2014,6471
38	activated sludge	0,0886	-0,5423	2	124	165	16	2016,1875
39	active catalyst	0,4081	0,5022	1	435	668	46	2015,8913
40	active center	0,9471	0,1471	5	152	177	15	2016,0667
41	active component	0,2348	0,6935	1	211	315	26	2015,4231
42	active enzyme	0,7948	-0,6081	2	212	334	21	2014,5714
43	active metal	0,2952	0,8841	1	191	251	18	2017,3333
44	active phase	0,2252	0,7439	1	343	566	36	2017,25
45	active site	0,6103	0,334	1	1182	3037	193	2016,7565
46	active surface area	1,3154	-0,1135	5	111	145	11	2015,2727
47	acyl acceptor	-0,2588	-0,1924	4	201	379	29	2014,7586
48	adaptation	-0,0061	-0,5869	2	301	390	29	2016,6552
49	adh	1,4168	-0,584	5	277	667	36	2014
50	adsorbed pyridine	0,373	0,8361	1	133	172	10	2016,9
51	advanced biofuel production	-0,4287	-0,3825	3	142	157	10	2016,2
52	advancement	-0,0906	-0,521	3	361	500	41	2016,9512
53	affinity	0,8225	-0,4021	2	379	593	39	2016,9487
54	afm	1,0989	-0,2977	5	241	378	20	2015
55	aftertreatment	-1,1426	-0,5252	7	174	317	17	2012,9412
56	ag agcl	1,5388	-0,4256	5	382	1090	54	2014,6481
57	agglomeration	0,147	0,5684	1	290	417	26	2016,4615
58	aggregation	0,5948	0,0623	1	329	430	28	2017,0357
59	agitation speed	-0,5336	-0,0309	4	239	370	24	2016,7917
60	agricultural biomass	-0,4209	-0,412	3	143	161	14	2016,1429
61	agricultural crop	-0,5834	-0,5177	3	145	180	11	2013,3636
62	agriculture	-0,4084	-0,4464	3	417	651	53	2015,7358
63	agro industrial residue	-0,2074	-0,4584	2	145	172	12	2014,75
64	air pollution	-0,9236	-0,4033	7	244	351	23	2016,1304
65	air quality	-0,733	-0,5858	3	190	233	14	2012,2857
66	al mcm	0,0769	0,8962	1	233	378	24	2016,625
67	al sba	0,1734	0,9239	1	244	409	25	2016
68	al2o3	-0,0117	0,6822	1	1137	3302	238	2016,3361
69	al2o3 catalyst	-0,0273	0,7096	1	722	1759	135	2016,0741
70	alcl3	0,2778	0,547	1	119	139	12	2015,1667
71	alcohol dehydrogenase	1,1715	-0,6137	5	373	966	57	2013,807
72	alcohol oil molar ratio	-0,6311	0,0375	4	139	216	19	2014,6316
73	aldehyde dehydrogenase	1,149	-0,6228	5	139	224	13	2013,7692
74	aldol condensation	0,365	0,6747	1	381	665	51	2016,0392
75	aldol condensation reaction	0,3157	0,6869	1	175	222	16	2017,5625
76	algae biomass	-0,4545	-0,2667	3	186	244	17	2016
77	algae oil	-0,7125	-0,3524	3	263	339	22	2016,7727
78	algal biodiesel	-0,5717	-0,4912	4	169	212	14	2016,1429
79	algal biofuel	-0,2882	-0,514	3	256	353	29	2015,7241
80	algal biofuel production	-0,1824	-0,5253	3	103	125	10	2015,4
81	algal growth	-0,2323	-0,3468	2	108	129	12	2016,3333
82	algal lipid	-0,3611	-0,3095	2	116	158	12	2015,8333
83	algal species	-0,2232	-0,2703	2	227	292	21	2016,4286
84	aliphatic	-0,2478	0,686	6	244	401	28	2016,6429
85	aliphatic compound	-0,2864	0,7508	6	151	205	15	2016,2667
86	aliphatic hydrocarbon	-0,2731	0,7111	6	448	911	61	2016,4754
87	alkali catalyst	-0,6528	0,0455	4	322	561	44	2014,1591
88	alkali catalyzed transesterification	-1,1463	-0,1425	4	100	138	11	2013,4545
89	alkali lignin	0,2037	0,7003	6	202	308	22	2017,6818
90	alkaline catalyst	-0,5433	-0,0948	4	359	713	58	2014,0862
91	alkaline medium	1,1538	0,1234	5	137	186	14	2014,3571
92	alkaline pretreatment	0,2618	-0,3854	2	153	235	18	2017,6667
93	alkaline transesterification	-0,736	-0,1303	4	278	495	34	2015,1176
94	alkane	-0,0471	0,6204	1	1167	3372	268	2016,3881
95	alkyl	0,214	0,48	1	158	200	17	2015,8824
96	alkyl ester	-0,464	-0,1283	4	429	708	56	2014,1786
97	alkyl levulinate	0,4463	0,5904	1	131	195	18	2017,3889
98	alkyl phenol	0,0297	0,8077	1	160	214	13	2016,8462
99	alkylation	0,2714	0,6281	1	416	751	56	2016,6786
100	alkylation reaction	0,3881	0,8793	1	136	190	14	2017,3571
101	alkylphenol	0,0542	0,7238	1	157	231	14	2016
102	alloy	0,6321	0,4842	1	361	570	48	2015,4167
103	alternate fuel	-1,0503	-0,2987	7	237	377	23	2017,3478
104	alternative energy resource	-0,3314	-0,0889	3	116	127	12	2017,75
105	alternative energy source	-0,7412	-0,2421	7	478	785	55	2016,2727
106	alternative feedstock	-0,4866	-0,2794	4	340	499	33	2016,5152
107	alternative fuel	-0,9259	-0,2932	7	1149	3726	256	2015,9688
108	alumina catalyst	0,0135	0,625	1	299	397	35	2014,3143
109	aluminum	-0,0006	0,7446	1	242	310	21	2015,0952
110	amberlyst	0,2724	0,4506	1	534	1134	101	2015,7921
111	ambient condition	0,4549	-0,2679	5	252	341	26	2017,1154
112	american society	-0,9622	-0,1609	4	359	778	47	2016,7447
113	amide	-0,2029	0,41	6	280	493	39	2016,8718
114	ammonia temperature	0,1538	0,9355	1	166	252	12	2017
115	amplitude	-0,4598	-0,1368	4	168	283	21	2016,5714
116	amylase	0,5924	-0,7066	2	126	186	16	2015,375
117	anaerobic co digestion	0,0914	-0,4813	2	73	110	14	2018,7143
118	anaerobic condition	0,5569	-0,7308	2	194	280	20	2016,35
119	anaerobic digester	0,0798	-0,6505	2	101	135	11	2016,4545
120	anaerobic digestion	-0,0378	-0,5262	2	724	1739	159	2017,5786
121	anaerobic digestion process	-0,0384	-0,5383	2	120	141	11	2016,1818
122	anaerobic fermentation	0,1816	-0,5502	2	161	197	15	2016
123	analysis result	-0,162	0,4664	6	390	602	45	2017,0667
124	analyte	0,9874	-0,2847	5	207	319	20	2014,45
125	analytical pyrolysis	-0,2612	0,5215	6	142	194	14	2015,8571
126	anhydrosugar	-0,0736	0,6712	6	250	411	29	2016,5517
127	animal fat	-0,7103	-0,1853	4	691	1560	124	2014,4516
128	animal feed	-0,0911	-0,5537	2	181	221	20	2015,85
129	anisole	0,0518	0,7051	1	293	488	31	2016,4516
130	ann	-0,7678	-0,0792	4	315	597	40	2017,575
131	ann model	-0,8995	-0,1457	4	158	253	16	2018,4375
132	anode	1,3897	-0,453	5	731	4132	238	2013,4202
133	anova	-0,7961	-0,0094	4	296	533	36	2017,6667
134	anp	-0,6203	0,0607	4	117	192	20	2015,55
135	anthracene	0,7857	0,2103	5	211	284	13	2015,5385
136	antioxidant	-0,7379	-0,1576	4	335	599	48	2017,1875
137	appearance	0,6208	-0,2527	5	179	201	13	2018,0769
138	aqueous fraction	-0,1519	0,5081	6	260	426	38	2015,1579
139	aqueous medium	0,6025	0,3595	1	337	452	32	2015,3125
140	arabidopsis	0,4889	-0,5524	2	86	123	12	2017,0833
141	arabinose	0,4907	-0,4924	2	299	562	36	2014,9722
142	arable land	-0,3967	-0,5756	3	208	293	27	2015,8889
143	archaea	0,5192	-0,7201	2	119	178	15	2016,9333
144	architecture	0,8846	-0,2568	5	536	923	61	2015,4754
145	aromatic	-0,1433	0,7122	6	1226	4350	306	2016,3529
146	aromatic compound	-0,1802	0,5502	6	645	1261	99	2016,6768
147	aromatic hydrocarbon	-0,1649	0,8102	6	854	2586	171	2016,5497
148	aromatic ring	0,1304	0,5839	1	293	423	26	2016,3462
149	aromatic structure	0,5426	0,5314	6	149	200	14	2016,9286
150	aromatization	0,005	0,7606	1	348	582	42	2016,7857
151	artificial neural network	-0,78	-0,0743	4	383	741	53	2017,283
152	artificial photosynthesis	0,6423	-0,4475	5	88	109	14	2014
153	ascorbic acid	1,2298	-0,3	5	207	293	18	2015,0556
154	aspen	-0,3429	-0,3568	3	336	523	35	2017,0571
155	aspen plus	-0,5478	-0,2594	3	311	525	41	2016,4878
156	aspen wood	0,0276	0,0749	2	136	172	14	2015,2143
157	aspergillus niger	0,5431	-0,5847	2	241	351	24	2014,4583
158	assay	0,2895	-0,4723	2	614	1029	72	2015,9722
159	assembly	1,0635	-0,3824	5	447	850	54	2015,5
160	assumption	-0,3124	-0,3627	3	396	613	49	2015,8163
161	astm	-0,7832	-0,1019	4	773	2184	138	2016,4348
162	astm d	-0,6766	0,1588	4	384	819	52	2015,0769
163	astm d6751	-0,8511	-0,085	4	551	1544	94	2016,2128
164	astm d6751 standard	-0,6272	0,1348	4	150	217	13	2017,5385
165	astm standard	-0,9996	-0,0841	4	442	1086	68	2016,7647
166	atmospheric co2	-0,1114	-0,159	3	120	145	13	2017,1538
167	atomic force microscopy	1,1361	-0,3753	5	227	356	20	2014,95
168	atomic ratio	-0,0779	0,587	1	283	407	29	2015,7586
169	atp	0,7127	-0,1753	5	126	138	11	2016,0909
170	atr ftir	0,1549	0,2564	4	178	239	15	2017,6
171	attachment	0,8792	-0,2656	5	346	553	32	2014,8438
172	au nanoparticle	1,4175	-0,1831	5	202	310	17	2015,7647
173	auger reactor	-0,3965	0,5711	6	153	228	17	2015,4706
174	aunp	1,5366	-0,4827	5	212	453	20	2015,25
175	autoclave	-0,1103	0,7057	6	279	470	41	2014,9024
176	automobile	-1,0079	-0,5875	7	147	192	12	2016,0833
177	average activation energy	-0,4236	0,722	6	79	105	10	2017,1
178	average molecular weight	-0,1416	0,4749	6	172	220	17	2016,0588
179	average particle size	-0,2534	0,5037	1	198	255	13	2018,3846
180	aviation	-0,3415	-0,193	3	196	260	21	2017,4286
181	avicel	0,5737	-0,433	2	131	200	14	2014,7857
182	awareness	-0,5412	-0,4129	3	167	213	21	2016,3333
183	b braunii	-0,2483	-0,3336	2	128	174	15	2016,0667
184	b10	-1,3745	-0,4799	7	249	484	24	2017,9583
185	b100	-1,2268	-0,3189	7	146	194	11	2016,0909
186	b20	-1,3219	-0,4444	7	551	1893	106	2017,0472
187	b20 blend	-1,4048	-0,4059	7	159	256	13	2017,6923
188	b20 fuel	-1,1345	-0,375	7	113	162	10	2018,7
189	b50	-1,2799	-0,3285	7	154	220	11	2017,1818
190	bacillus	0,5062	-0,6985	2	114	155	11	2015,2727
191	bacillus subtili	0,7436	-0,6334	2	133	178	13	2014,6154
192	bacterium	0,516	-0,6248	2	797	2112	166	2014,988
193	baker	0,7809	-0,6811	2	96	140	12	2012,5
194	bamboo	0,181	0,4194	6	250	325	25	2017,12
195	bar h2	0,2362	0,6581	1	139	195	15	2018,6
196	barley straw	0,0708	-0,2421	2	151	206	16	2016,4375
197	barrel	-0,4788	-0,4305	3	130	172	17	2013,1765
198	base case	-0,3431	-0,5151	3	169	220	16	2015,8125
199	base catalyzed transesterification	-0,8571	-0,4519	4	128	173	10	2015,3
200	base fuel	-1,5343	-0,5174	7	141	251	14	2017,5
201	baseline	-0,5704	-0,4654	3	225	272	18	2016,2778
202	basic catalyst	-0,283	0,3313	4	368	668	52	2016,0192
203	basic property	0,2009	0,5988	1	253	370	25	2016,08
204	basic site	0,3187	0,6735	1	481	844	53	2017,3585
205	basic strength	-0,0532	0,5253	4	202	334	19	2016,4737
206	basicity	0,1567	0,6541	1	503	1257	82	2016,9268
207	batch fermentation	0,3948	-0,6871	2	245	433	31	2016,3548
208	batch reaction	0,1082	0,0746	4	137	180	18	2013,9444
209	bbd	-0,377	0,188	4	213	340	22	2018,5
210	bdf	-0,3897	0,0056	4	126	179	13	2014,1538
211	bed catalytic reactor	0,0179	0,6738	1	115	128	11	2015,4545
212	bed gasification	-0,4443	0,0997	3	99	160	13	2014,2308
213	bed gasifier	-0,501	0,0886	3	163	282	23	2015,2609
214	bed material	-0,4072	0,2174	3	209	415	32	2016,7812
215	bed microreactor	-0,1555	0,6624	1	120	138	11	2012,4545
216	bed pyrolyzer	-0,2913	0,8935	6	110	154	11	2017,1818
217	bed reactor	-0,2319	0,5998	6	1501	6509	507	2015,8245
218	bed tubular reactor	-0,3349	1,0033	6	155	287	22	2015,8636
219	beech wood	-0,1307	0,3376	6	161	195	12	2014,9167
220	beef tallow	-0,5682	-0,1557	4	143	175	15	2014
221	benchmark	-0,2315	-0,5204	3	219	259	16	2016,875
222	bentonite	0,0539	0,5002	1	146	180	16	2016,375
223	benzaldehyde	0,4603	0,4359	1	156	195	13	2016,8462
224	benzene	-0,1972	0,6409	6	815	2047	126	2016,5397
225	benzyl alcohol	0,2185	0,6022	1	129	156	13	2017,8462
226	best catalyst	0,352	0,4691	1	333	443	30	2017,0667
227	best catalytic activity	0,2014	0,5454	1	182	230	18	2015,5556
228	best catalytic performance	0,3391	0,6994	1	213	297	23	2016,3913
229	best option	-0,7879	-0,1335	3	107	123	10	2018,4
230	best yield	0,1524	0,0992	4	124	153	13	2017,2308
231	bet	0,0832	0,7068	1	1160	4127	230	2017,187
232	bet surface area	0,3077	0,5366	1	488	828	52	2017,3462
233	beta zeolite	0,1913	0,8344	1	185	242	19	2015,5789
234	better activity	0,2785	0,6734	1	127	153	12	2015,4167
235	better catalytic activity	0,3041	0,5392	1	247	313	19	2015,5789
236	better catalytic performance	0,3175	0,5538	1	157	174	13	2017,7692
237	better stability	0,7296	-0,2142	5	238	277	15	2015,6
238	bfc	1,5984	-0,5103	5	377	1284	65	2014,1385
239	bfcs	1,5471	-0,6193	5	105	159	10	2013,3
240	bha	-1,2468	-0,1336	4	94	157	10	2017,4
241	bhmf	0,5776	0,7366	1	125	216	16	2018,5625
242	bht	-0,981	-0,0392	4	141	197	14	2016
243	bifunctional catalyst	0,2998	0,7527	1	441	764	56	2016,875
244	bilirubin oxidase	1,6543	-0,5019	5	363	1350	71	2013,1408
245	bimetallic catalyst	0,4144	0,7602	1	348	630	46	2017,3478
246	binder	0,4191	0,0847	5	274	378	34	2015,5588
247	binding	0,7678	-0,3164	2	324	568	43	2015,9535
248	bio char	-0,347	0,6832	6	674	1861	137	2016,3869
249	bio char yield	-0,3716	0,6982	6	207	372	27	2016,7037
250	bio crude	-0,3326	0,3192	6	319	513	37	2016,1892
251	bio crude oil	-0,2796	0,1416	6	213	333	28	2016,8214
252	bio crude yield	-0,2486	0,3671	6	131	236	20	2015,8
253	bio oil	-0,1787	0,6043	6	2353	23680	1911	2016,2988
254	bio oil aqueous fraction	-0,039	0,5472	1	120	195	19	2015,2105
255	bio oil aqueous phase	-0,177	-0,0177	3	124	168	15	2017,5333
256	bio oil characterization	-0,3521	0,6387	6	143	218	15	2015,9333
257	bio oil component	-0,1686	0,63	6	284	463	36	2015,3056
258	bio oil composition	-0,2083	0,773	6	460	967	64	2016,625
259	bio oil compound	0,089	0,7094	1	242	356	31	2016,2581
260	bio oil conversion	-0,0652	0,7674	1	130	177	13	2015,6923
261	bio oil fraction	-0,1787	0,3185	6	319	480	37	2015,8649
262	bio oil model compound	0,096	0,867	1	369	729	54	2016,2037
263	bio oil product	-0,2566	0,638	6	317	555	46	2016,2391
264	bio oil production	-0,3554	0,5496	6	946	2886	214	2016,7897
265	bio oil property	-0,4968	0,7255	6	228	386	26	2015,6923
266	bio oil quality	-0,2663	0,7575	6	496	1093	72	2016,9306
267	bio oil sample	-0,2998	0,598	6	287	521	37	2016,6486
268	bio oil steam	-0,0135	0,7627	1	100	146	14	2015
269	bio oil upgrading	0,0276	0,6858	1	603	1265	88	2016,4432
270	bio oil yield	-0,2736	0,6432	6	1232	5099	376	2016,6596
271	bio syngas	-0,2504	0,1205	3	106	125	14	2014,1429
272	bioanode	1,6622	-0,4864	5	543	3168	155	2015,6839
273	biobattery	1,512	-0,5023	5	139	270	15	2014,4667
274	biobutanol	-0,1494	-0,5485	3	244	335	27	2016,8519
275	biocatalysis	0,8948	-0,3351	5	296	440	30	2014,6333
276	biocatalyst	0,706	-0,4562	5	1212	4524	305	2015,3541
277	biocathode	1,5636	-0,5074	5	492	2239	113	2015,1947
278	biochar production	-0,3013	0,1481	6	180	240	19	2019,0526
279	biochar property	-0,2659	0,209	6	87	109	11	2019,0909
280	biochar yield	-0,3893	0,4185	6	255	427	31	2018,1613
281	biochemical characterization	0,6521	-0,5949	2	130	212	15	2017,5333
282	biochemical composition	-0,1463	-0,2871	2	172	243	21	2016,619
283	biochemical conversion	-0,159	-0,4573	3	172	209	18	2015,2778
284	biochemical production	0,2489	-0,382	3	169	182	12	2017,4167
285	biocompatibility	1,1944	-0,3791	5	227	335	19	2016,7368
286	bioconversion	0,3354	-0,5783	2	561	1010	73	2016,4795
287	biocrude	-0,2626	0,2114	6	652	1395	119	2017,0084
288	biocrude oil	-0,2541	0,2431	6	286	539	44	2017,1136
289	biocrude oil yield	-0,2942	0,1378	6	135	233	18	2017,7778
290	biocrude production	-0,2677	0,0331	6	161	254	20	2017,4
291	biocrude yield	-0,2523	0,1881	6	373	669	52	2017,4808
292	biodegradation	0,4117	-0,5662	2	196	261	23	2016,6957
293	biodiesel blend	-1,3156	-0,4591	7	600	2512	145	2016,931
294	biodiesel content	-1,1866	-0,2926	7	214	328	19	2016,4737
295	biodiesel conversion	-0,1874	-0,0807	4	439	920	66	2016,7424
296	biodiesel diesel blend	-1,5632	-0,5634	7	241	620	32	2016,9688
297	biodiesel feedstock	-0,6334	-0,3259	4	381	730	58	2016,3103
298	biodiesel fuel	-0,8639	-0,2752	7	786	2103	145	2013,8069
299	biodiesel fuel production	-0,361	-0,0898	4	91	130	12	2011,3333
300	biodiesel fuel property	-0,6732	-0,4614	4	209	291	18	2015,4444
301	biodiesel plant	-0,467	-0,4478	3	213	276	24	2014,0833
302	biodiesel preparation	-0,0326	-0,0384	4	265	452	34	2016,4412
303	biodiesel product	-0,4657	0,0331	4	289	518	37	2014,7297
304	biodiesel production	-0,3338	-0,1326	4	2174	21116	1655	2015,7366
305	biodiesel production cost	-0,5246	-0,3537	4	186	278	21	2016,7619
306	biodiesel production plant	-0,3839	-0,4778	3	120	142	16	2015,6875
307	biodiesel production process	-0,3802	-0,2763	4	601	1216	101	2015,9109
308	biodiesel property	-0,5912	-0,2862	4	416	893	65	2016,9231
309	biodiesel purification	-0,4056	-0,3314	4	114	151	16	2017,4375
310	biodiesel quality	-0,6744	-0,2959	4	350	671	48	2015,1875
311	biodiesel sample	-0,675	-0,1178	4	344	607	47	2014,6809
312	biodiesel standard	-0,8024	-0,262	4	468	1130	73	2014,9863
313	biodiesel synthesis	-0,1497	-0,0656	4	885	2676	198	2015,9293
314	biodiesel use	-0,8604	-0,4536	7	104	126	10	2012,1
315	biodiesel yield	-0,3772	0,0623	4	992	4113	294	2016,4864
316	biodiversity	-0,5089	-0,6127	3	198	228	15	2015,8
317	bioeconomy	-0,2215	-0,5295	3	247	310	23	2018,6957
318	bioelectricity	0,0952	-0,6696	3	153	193	13	2017,6923
319	bioelectrocatalysis	1,5481	-0,4889	5	321	866	46	2015,0217
320	bioelectrochemical system	0,5827	-0,6838	2	162	224	18	2015,7222
321	bioelectrode	1,5574	-0,439	5	367	1092	52	2015,8077
322	bioelectronic	1,4462	-0,3817	5	192	320	17	2013,5294
323	bioelectronic device	1,4007	-0,4052	5	158	244	14	2011,2143
324	bioenergy	-0,2027	-0,3425	3	736	1349	116	2016,9655
325	bioenergy application	-0,0582	-0,382	2	131	148	11	2017,9091
326	bioenergy crop	-0,0568	-0,2346	2	277	372	29	2016,2759
327	bioenergy production	-0,1856	-0,2934	3	382	547	42	2017,3571
328	bioethanol production	0,2359	-0,5114	2	870	2439	192	2016,2969
329	bioethanol production process	0,3427	-0,4996	2	152	208	17	2014,8824
330	bioethanol yield	0,1948	-0,5617	2	197	323	24	2016,9167
331	biofilm	0,6731	-0,6342	2	280	485	43	2015,186
332	biofuel additive	0,3437	0,479	1	374	651	57	2017,8421
333	biofuel blend	-1,0901	-0,4555	7	282	515	32	2016,875
334	biofuel cell	1,4654	-0,4406	5	869	9184	528	2013,3447
335	biofuel cell anode	1,7136	-0,4942	5	189	360	17	2013,2941
336	biofuel cell application	1,5637	-0,3216	5	328	820	39	2014,0513
337	biofuel development	-0,198	-0,3604	3	215	264	19	2015,4211
338	biofuel process	-0,2177	-0,3374	3	180	225	21	2015,1905
339	biofuel upgrade	0,6638	0,5568	1	95	115	10	2017
340	biofuels industry	0,181	-0,738	2	104	131	14	2015,3571
341	biogas production	0,1096	-0,5425	2	414	839	86	2016,9186
342	biogas yield	0,0822	-0,4315	2	123	187	21	2017,5714
343	biohydrogen	-0,1284	-0,5557	3	379	581	41	2015,6585
344	biohydrogen production	0,2921	-0,4043	2	239	312	30	2015,8667
345	biojet fuel	-0,3327	-0,2774	3	199	241	17	2019,0588
346	biological catalyst	0,9077	-0,4991	5	205	289	21	2014,0952
347	biological conversion	0,2421	-0,4245	2	162	179	16	2016,3125
348	biological process	0,2162	-0,539	2	273	329	25	2015,76
349	biological production	0,3207	-0,6267	2	122	151	12	2014,3333
350	biological system	0,619	-0,5147	5	181	237	19	2015,1053
351	biology	0,4476	-0,4994	2	218	282	26	2015,8462
352	biolubricant	-0,2765	0,2053	4	151	182	15	2016
353	biomass catalytic pyrolysis	0,0195	0,831	1	121	167	11	2017
354	biomass component	0,0383	0,2659	6	249	344	25	2016,72
355	biomass composition	-0,0302	-0,0463	2	224	293	24	2015,875
356	biomass concentration	-0,1452	-0,4305	2	266	419	32	2017
357	biomass derivative	0,394	0,5276	1	123	155	13	2017,1538
358	biomass fast pyrolysis	-0,0377	0,5739	1	99	121	10	2015,8
359	biomass gasification	-0,4471	-0,1039	3	414	793	72	2015,3194
360	biomass gasifier	-0,3797	-0,1171	3	122	158	14	2014
361	biomass growth	-0,0536	-0,4446	2	124	152	13	2016,1538
362	biomass hydrolysis	0,414	-0,4306	2	189	279	20	2016,95
363	biomass liquefaction	-0,1696	0,6084	6	143	192	18	2015,2222
364	biomass loading	0,0414	-0,2445	2	207	284	22	2017,0455
365	biomass particle size	-0,3663	0,323	6	139	170	13	2015,6923
366	biomass pretreatment	0,1987	-0,1827	2	359	534	40	2015,35
367	biomass processing	0,1854	0,0069	2	170	189	14	2017,3571
368	biomass production	-0,0537	-0,5786	2	420	774	65	2016,9077
369	biomass productivity	-0,1746	-0,4557	2	341	646	52	2017,1346
370	biomass pyrolysis	-0,1851	0,5152	6	607	1219	102	2016,4314
371	biomass pyrolysis vapor	-0,055	0,8556	6	200	317	21	2016,7143
372	biomass recalcitrance	0,2708	-0,2901	2	113	154	11	2017,8182
373	biomass sample	-0,1103	0,2764	6	330	543	42	2015,5238
374	biomass type	-0,0101	0,0032	2	215	268	22	2014,2727
375	biomass yield	-0,0588	-0,5128	2	298	445	42	2017,1667
376	biomethane	-0,1216	-0,5552	3	308	451	38	2017,9737
377	biomethane production	0,0351	-0,5096	2	155	211	19	2019,1579
378	biomolecule	1,054	-0,272	5	266	425	25	2014,8
379	bioplastic	0,0751	-0,4198	3	125	157	14	2016,7143
380	bioprocess	0,1933	-0,6123	2	337	467	33	2015,7273
381	bioproduct	0,0793	-0,3735	2	562	927	75	2017,9733
382	bioreactor	0,3314	-0,6123	2	515	919	79	2016,0886
383	biorefinery	-0,1231	-0,3283	3	1368	3935	322	2016,7298
384	biorefinery concept	-0,2059	-0,3186	3	454	667	56	2017,1071
385	biorefinery process	-0,0273	-0,3114	2	293	381	29	2017,6552
386	bioremediation	0,2521	-0,5956	2	210	257	22	2017,7727
387	biosensing	1,4206	-0,2696	5	273	620	29	2015,1724
388	biosensor	1,3701	-0,3553	5	646	3199	168	2014,756
389	biosynthesis	0,4132	-0,6244	2	345	651	60	2016,9833
390	biotechnol	0,2678	-0,575	2	132	155	12	2014
391	biotechnological application	0,7024	-0,5442	2	237	377	27	2016,1481
392	biotechnology	0,3559	-0,5687	2	333	505	47	2014,9787
393	biotransformation	0,488	-0,4597	2	278	408	29	2015,6552
394	biphasic system	0,3304	0,2882	1	229	304	27	2016,7407
395	birch	0,1402	-0,1221	2	145	175	13	2016,5385
396	black liquor	-0,2229	-0,1929	3	219	282	24	2015,7083
397	blend	-1,1058	-0,3101	7	1502	8688	551	2016,8802
398	blend ratio	-1,2091	-0,319	7	248	384	22	2016,7273
399	blended fuel	-1,4334	-0,5135	7	258	695	39	2017,3333
400	blending	-0,8862	-0,1699	7	543	953	65	2016,6923
401	blending ratio	-0,9181	-0,1662	7	253	336	22	2018,5909
402	bmimcl	0,3739	0,2059	2	179	265	26	2015,4615
403	bmp	0,1207	-0,5357	2	80	123	13	2017,7692
404	bod	1,5346	-0,4982	5	287	695	37	2012,8919
405	bond	0,3584	0,3327	1	1122	2551	192	2016,6667
406	botryococcus braunii	-0,3	-0,2833	2	223	298	25	2016,72
407	bottleneck	0,2012	-0,5156	2	501	737	63	2016,0794
408	box	0,3305	-0,2635	5	185	221	15	2016,4
409	box behnken design	-0,2405	0,0338	4	370	657	50	2017,62
410	brake	-1,5568	-0,5058	7	206	549	27	2018,1481
411	brake power	-1,5227	-0,5187	7	265	696	33	2016,8485
412	brake specific fuel consumption	-1,4999	-0,4665	7	419	1567	75	2017,7467
413	brake thermal efficiency	-1,4858	-0,4778	7	565	2861	138	2017,7536
414	breakdown	0,1897	-0,181	2	287	349	26	2015,3462
415	brnsted acid site	0,4175	0,7094	1	409	674	44	2017,1818
416	brnsted acidic ionic liquid	0,4549	0,5088	1	89	113	10	2015,1
417	brnsted acidity	0,4093	0,6674	1	179	241	15	2017,9333
418	bronsted acid site	0,3227	0,7342	1	206	296	18	2015,2778
419	broth	0,3521	-0,5773	2	206	293	24	2014,7083
420	brunauer emmett teller	0,084	0,761	1	506	1008	51	2016,7255
